brand,name,parfumo_url,gender,rank,rating,votes,year,top_notes,heart_notes,base_notes,family,image_url,notes
Hermès,L'Ambre des Merveilles,https://www.parfumo.com/Perfumes/Hermes/L_Ambre_des_Merveilles,WOMEN,165,8.0,480,,,,,,https://media.parfumo.com/perfumes/9d/9da40b-l-ambre-des-merveilles-hermes_1200.jpg?width=240&aspect_ratio=1:1,
Yves Saint Laurent,Opium (1977) Parfum,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Opium_1977_Parfum,WOMEN,166,8.0,495,,,,,,https://media.parfumo.com/perfumes/b3/b3cd02-opium-1977-parfum-yves-saint-laurent_1200.jpg?width=240&aspect_ratio=1:1,
Guerlain,Mitsouko Extrait,https://www.parfumo.com/Perfumes/Guerlain/Mitsouko_Extrait,WOMEN,167,9.0,246,,,,,,https://media.parfumo.com/perfumes/5f/5f4cf9-mitsouko-extrait-guerlain_1200.jpg?width=240&aspect_ratio=1:1,
Lalique,Perles de Lalique,https://www.parfumo.com/Perfumes/Lalique/Perles_De_Lalique,WOMEN,168,7.5,720,,,,,,https://media.parfumo.com/perfumes/98/98dbc5-perles-de-lalique-lalique_1200.jpg?width=240&aspect_ratio=1:1,
Nobile 1942,La Danza delle Libellule Eau de Parfum,https://www.parfumo.com/Perfumes/Nobile_1942/La_Danza_delle_Libellule_Fragranza_Suprema,WOMEN,169,7.8,567,,,,,,https://media.parfumo.com/perfumes/9a/9ae168-la-danza-delle-libellule-eau-de-parfum-nobile-1942_1200.jpg?width=240&aspect_ratio=1:1,
Louis Vuitton,Attrape-Rêves,https://www.parfumo.com/Perfumes/Louis_Vuitton/Attrape_Rves,WOMEN,170,8.1,460,,,,,,https://media.parfumo.com/perfumes/6d/6d7ee5-attrape-reves-louis-vuitton_1200.jpg?width=240&aspect_ratio=1:1,
Parfums de Marly,Cassili,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Cassili,WOMEN,171,7.6,671,,,,,,https://media.parfumo.com/perfumes/e5/e53d86-cassili-parfums-de-marly_1200.jpg?width=240&aspect_ratio=1:1,
Guerlain,L'Instant de Guerlain Eau de Parfum,https://www.parfumo.com/Perfumes/Guerlain/L_Instant_de_Guerlain,WOMEN,172,7.8,579,,,,,,https://media.parfumo.com/perfumes/1f/1f03f0-l-instant-de-guerlain-eau-de-parfum-guerlain_1200.jpg?width=240&aspect_ratio=1:1,
Versace,Crystal Noir Eau de Toilette,https://www.parfumo.com/Perfumes/Versace/Crystal_Noir_Eau_de_Toilette,WOMEN,173,7.5,706,,,,,,https://media.parfumo.com/perfumes/34/349f45-crystal-noir-eau-de-toilette-versace_1200.jpg?width=240&aspect_ratio=1:1,
Kayali,Yum Boujee Marshmallow | 81,https://www.parfumo.com/Perfumes/Kayali/yum-boujee-marshmallow-81,WOMEN,174,8.0,463,,,,,,https://media.parfumo.com/perfumes/68/688e4d-yum-boujee-marshmallow-81-kayali_1200.jpg?width=240&aspect_ratio=1:1,
